date,level,sun_duration,cloud_cover,precipitation,snow_accumulation,snow_depth,temperature_avg,temperature_min,temperature_max
2010-01-01,288.76,0.0,97.0,13.8,0.0,0.0,6.9,5.5,7.7
2010-01-02,288.76,0.0,100.0,4.6,0.0,0.0,2.5,0.7,6.7
2010-01-03,288.76,8.0,7.0,7.9,0.0,0.0,-0.5,-2.6,3.4
2010-01-04,288.75,0.8,77.0,0.0,0.0,0.0,-3.3,-6.4,-1.6
2010-01-05,288.74,0.0,100.0,5.8,10.0,10.0,-1.5,-2.3,-0.5
2010-01-06,288.72,0.0,100.0,10.4,9.0,18.0,-0.7,-2.0,0.5
2010-01-07,288.69,0.0,100.0,4.4,6.0,20.0,0.6,-0.6,1.2
2010-01-08,288.67,0.0,100.0,1.7,1.0,16.0,-0.2,-0.5,0.7
2010-01-09,288.64,0.0,100.0,38.6,28.0,44.0,0.7,-0.5,1.5
2010-01-10,288.61,0.0,100.0,7.8,2.0,36.0,0.8,0.4,2.4
2010-01-11,288.57,0.0,100.0,0.0,0.0,30.0,0.5,-0.3,1.1
2010-01-12,288.54,0.0,97.0,1.5,1.0,26.0,0.5,0.0,1.3
2010-01-13,288.52,0.0,100.0,1.2,2.0,23.0,-0.3,-0.6,0.4
2010-01-14,288.51,0.0,100.0,0.0,0.0,23.0,0.0,-1.0,0.4
2010-01-15,288.49,0.0,100.0,0.2,0.0,23.0,0.9,-0.3,1.9
2010-01-16,288.46,0.0,93.0,0.0,0.0,23.0,0.1,-0.9,2.2
2010-01-17,288.43,1.1,80.0,0.0,0.0,22.0,-2.3,-3.8,0.5
2010-01-18,288.41,0.6,77.0,1.9,2.0,24.0,-2.6,-3.9,0.3
2010-01-19,288.38,0.0,100.0,0.0,0.0,23.0,-2.9,-4.4,-1.3
2010-01-20,288.35,4.0,43.0,0.0,0.0,23.0,-4.4,-5.5,-0.4
2010-01-21,288.33,0.0,100.0,0.0,0.0,21.0,-4.0,-7.3,-2.8
2010-01-22,288.32,0.0,100.0,1.6,3.0,23.0,-2.2,-3.1,-0.5
2010-01-23,288.3,0.0,100.0,0.0,0.0,23.0,-2.9,-3.5,-2.1
2010-01-24,288.28,0.0,100.0,0.0,0.0,23.0,-3.4,-4.2,-2.4
2010-01-25,288.26,0.0,100.0,0.0,0.0,22.0,-3.5,-4.0,-2.7
2010-01-26,288.25,0.0,90.0,0.2,0.0,21.0,-4.4,-5.1,-2.4
2010-01-27,288.24,8.0,43.0,0.6,1.0,21.0,-6.5,-10.5,-1.6
2010-01-28,288.23,2.8,67.0,0.0,0.0,20.0,-7.0,-11.0,-2.3
2010-01-29,288.22,0.9,73.0,0.0,0.0,20.0,-4.6,-9.7,-1.7
2010-01-30,288.22,0.0,100.0,7.4,9.0,28.0,-0.5,-3.2,0.7
2010-01-31,288.22,0.3,83.0,15.0,21.0,48.0,-1.9,-3.6,1.5
2010-02-01,288.21,3.8,37.0,0.1,0.0,43.0,-5.6,-6.9,-1.6
2010-02-02,288.19,5.6,70.0,0.0,0.0,42.0,-5.1,-8.8,0.1
2010-02-03,288.18,2.3,70.0,0.0,0.0,38.0,0.4,-9.7,5.1
2010-02-04,288.18,0.0,97.0,0.0,0.0,32.0,2.6,-0.3,5.3
2010-02-05,288.19,0.0,100.0,0.1,0.0,25.0,2.1,1.2,3.3
2010-02-06,288.21,0.0,100.0,13.1,0.0,22.0,1.4,0.5,2.4
2010-02-07,288.23,0.2,100.0,0.5,0.0,20.0,-1.3,-2.7,1.3
2010-02-08,288.22,0.2,100.0,0.0,0.0,19.0,-2.8,-4.3,-1.2
2010-02-09,288.2,0.0,100.0,0.0,0.0,18.0,-2.9,-4.1,-2.1
2010-02-10,288.17,0.0,100.0,1.8,3.0,21.0,-2.2,-3.6,-1.4
2010-02-11,288.16,0.0,100.0,18.3,21.0,41.0,-0.3,-1.6,0.7
2010-02-12,288.15,0.0,100.0,3.2,3.0,43.0,-0.7,-1.2,0.7
2010-02-13,288.15,6.4,37.0,0.1,0.0,41.0,-0.3,-2.1,4.6
2010-02-14,288.14,0.0,100.0,0.0,0.0,36.0,-0.9,-3.4,0.2
2010-02-15,288.14,0.0,97.0,0.2,0.0,33.0,0.2,-1.5,1.6
2010-02-16,288.13,1.8,70.0,0.0,0.0,32.0,0.8,-3.0,4.6
2010-02-17,288.13,0.6,87.0,1.0,1.0,30.0,3.1,0.3,6.6
2010-02-18,288.14,0.2,97.0,1.7,0.0,25.0,3.5,1.7,5.5
2010-02-19,288.19,0.0,97.0,0.6,0.0,20.0,3.0,1.5,3.9
2010-02-20,289.12,0.0,100.0,41.4,0.0,19.0,1.3,0.4,3.4
