date,level,sun_duration,cloud_cover,precipitation,snow_accumulation,snow_depth,temperature_avg,temperature_min,temperature_max
2010-01-01,275.83,0.0,97.0,13.8,0.0,0.0,6.9,5.5,7.7
2010-01-02,275.8,0.0,100.0,4.6,0.0,0.0,2.5,0.7,6.7
2010-01-03,275.77,8.0,7.0,7.9,0.0,0.0,-0.5,-2.6,3.4
2010-01-04,275.74,0.8,77.0,0.0,0.0,0.0,-3.3,-6.4,-1.6
2010-01-05,275.71,0.0,100.0,5.8,10.0,10.0,-1.5,-2.3,-0.5
2010-01-06,275.67,0.0,100.0,10.4,9.0,18.0,-0.7,-2.0,0.5
2010-01-07,275.63,0.0,100.0,4.4,6.0,20.0,0.6,-0.6,1.2
2010-01-08,275.59,0.0,100.0,1.7,1.0,16.0,-0.2,-0.5,0.7
2010-01-09,275.56,0.0,100.0,38.6,28.0,44.0,0.7,-0.5,1.5
2010-01-10,275.52,0.0,100.0,7.8,2.0,36.0,0.8,0.4,2.4
2010-01-11,275.48,0.0,100.0,0.0,0.0,30.0,0.5,-0.3,1.1
2010-01-12,275.45,0.0,97.0,1.5,1.0,26.0,0.5,0.0,1.3
2010-01-13,275.42,0.0,100.0,1.2,2.0,23.0,-0.3,-0.6,0.4
2010-01-14,275.38,0.0,100.0,0.0,0.0,23.0,0.0,-1.0,0.4
2010-01-15,275.35,0.0,100.0,0.2,0.0,23.0,0.9,-0.3,1.9
2010-01-16,275.31,0.0,93.0,0.0,0.0,23.0,0.1,-0.9,2.2
2010-01-17,275.29,1.1,80.0,0.0,0.0,22.0,-2.3,-3.8,0.5
2010-01-18,275.26,0.6,77.0,1.9,2.0,24.0,-2.6,-3.9,0.3
2010-01-19,275.23,0.0,100.0,0.0,0.0,23.0,-2.9,-4.4,-1.3
2010-01-20,275.21,4.0,43.0,0.0,0.0,23.0,-4.4,-5.5,-0.4
2010-01-21,275.18,0.0,100.0,0.0,0.0,21.0,-4.0,-7.3,-2.8
2010-01-22,275.15,0.0,100.0,1.6,3.0,23.0,-2.2,-3.1,-0.5
2010-01-23,275.12,0.0,100.0,0.0,0.0,23.0,-2.9,-3.5,-2.1
2010-01-24,275.09,0.0,100.0,0.0,0.0,23.0,-3.4,-4.2,-2.4
2010-01-25,275.06,0.0,100.0,0.0,0.0,22.0,-3.5,-4.0,-2.7
2010-01-26,275.03,0.0,90.0,0.2,0.0,21.0,-4.4,-5.1,-2.4
2010-01-27,274.99,8.0,43.0,0.6,1.0,21.0,-6.5,-10.5,-1.6
2010-01-28,274.96,2.8,67.0,0.0,0.0,20.0,-7.0,-11.0,-2.3
2010-01-29,274.92,0.9,73.0,0.0,0.0,20.0,-4.6,-9.7,-1.7
2010-01-30,274.89,0.0,100.0,7.4,9.0,28.0,-0.5,-3.2,0.7
2010-01-31,274.86,0.3,83.0,15.0,21.0,48.0,-1.9,-3.6,1.5
2010-02-01,274.83,3.8,37.0,0.1,0.0,43.0,-5.6,-6.9,-1.6
2010-02-02,274.8,5.6,70.0,0.0,0.0,42.0,-5.1,-8.8,0.1
2010-02-03,274.78,2.3,70.0,0.0,0.0,38.0,0.4,-9.7,5.1
2010-02-04,274.75,0.0,97.0,0.0,0.0,32.0,2.6,-0.3,5.3
2010-02-05,274.72,0.0,100.0,0.1,0.0,25.0,2.1,1.2,3.3
2010-02-06,274.71,0.0,100.0,13.1,0.0,22.0,1.4,0.5,2.4
2010-02-07,274.71,0.2,100.0,0.5,0.0,20.0,-1.3,-2.7,1.3
2010-02-08,274.71,0.2,100.0,0.0,0.0,19.0,-2.8,-4.3,-1.2
2010-02-09,274.71,0.0,100.0,0.0,0.0,18.0,-2.9,-4.1,-2.1
2010-02-10,274.69,0.0,100.0,1.8,3.0,21.0,-2.2,-3.6,-1.4
2010-02-11,274.68,0.0,100.0,18.3,21.0,41.0,-0.3,-1.6,0.7
2010-02-12,274.66,0.0,100.0,3.2,3.0,43.0,-0.7,-1.2,0.7
2010-02-13,274.64,6.4,37.0,0.1,0.0,41.0,-0.3,-2.1,4.6
2010-02-14,274.63,0.0,100.0,0.0,0.0,36.0,-0.9,-3.4,0.2
2010-02-15,274.61,0.0,97.0,0.2,0.0,33.0,0.2,-1.5,1.6
2010-02-16,274.59,1.8,70.0,0.0,0.0,32.0,0.8,-3.0,4.6
2010-02-17,274.58,0.6,87.0,1.0,1.0,30.0,3.1,0.3,6.6
2010-02-18,274.57,0.2,97.0,1.7,0.0,25.0,3.5,1.7,5.5
2010-02-19,274.57,0.0,97.0,0.6,0.0,20.0,3.0,1.5,3.9
2010-02-20,274.67,0.0,100.0,41.4,0.0,19.0,1.3,0.4,3.4
2010-02-21,274.88,6.4,63.0,19.9,2.0,15.0,2.4,0.2,7.4
2010-02-22,275.03,0.0,97.0,9.6,3.0,17.0,3.3,0.4,5.5
2010-02-23,275.12,1.0,77.0,2.3,0.0,16.0,5.1,1.1,9.6
2010-02-24,275.18,1.6,80.0,0.3,0.0,11.0,3.9,0.3,8.5
2010-02-25,275.23,6.2,50.0,0.4,0.0,10.0,6.0,-0.3,12.3
2010-02-26,275.33,0.0,100.0,1.0,0.0,7.0,4.8,3.9,7.0
2010-02-27,275.49,6.9,67.0,28.9,0.0,4.0,6.1,2.2,13.3
2010-02-28,275.63,0.5,97.0,0.0,0.0,0.0,8.2,2.4,11.5
2010-03-01,275.72,7.1,47.0,1.0,0.0,0.0,8.7,5.0,14.1
2010-03-02,275.78,2.6,70.0,0.0,0.0,0.0,5.3,3.3,10.3
2010-03-03,275.81,0.1,97.0,0.2,0.0,0.0,3.7,-0.5,6.0
2010-03-04,275.81,0.0,100.0,2.3,0.0,0.0,2.4,1.8,4.6
2010-03-05,275.8,2.6,60.0,1.2,0.0,0.0,0.6,-0.7,3.5
2010-03-06,275.77,6.4,23.0,0.1,0.0,0.0,-0.2,-5.7,3.7
2010-03-07,275.73,8.8,53.0,0.0,0.0,0.0,-0.3,-2.9,3.0
2010-03-08,275.68,8.4,47.0,0.0,0.0,0.0,-1.2,-4.4,2.2
2010-03-09,275.63,0.5,97.0,0.0,0.0,0.0,-0.8,-3.3,0.5
2010-03-10,275.58,0.0,100.0,0.3,0.0,0.0,-2.4,-3.0,0.4
