date,level,sun_duration,cloud_cover,precipitation,snow_accumulation,snow_depth,temperature_avg,temperature_min,temperature_max
2010-01-01,277.07,0.0,97.0,13.8,0.0,0.0,6.9,5.5,7.7
2010-01-02,277.07,0.0,100.0,4.6,0.0,0.0,2.5,0.7,6.7
2010-01-03,277.07,8.0,7.0,7.9,0.0,0.0,-0.5,-2.6,3.4
2010-01-04,277.07,0.8,77.0,0.0,0.0,0.0,-3.3,-6.4,-1.6
2010-01-05,277.06,0.0,100.0,5.8,10.0,10.0,-1.5,-2.3,-0.5
2010-01-06,277.05,0.0,100.0,10.4,9.0,18.0,-0.7,-2.0,0.5
2010-01-07,277.02,0.0,100.0,4.4,6.0,20.0,0.6,-0.6,1.2
2010-01-08,277.0,0.0,100.0,1.7,1.0,16.0,-0.2,-0.5,0.7
2010-01-09,276.98,0.0,100.0,38.6,28.0,44.0,0.7,-0.5,1.5
2010-01-10,276.96,0.0,100.0,7.8,2.0,36.0,0.8,0.4,2.4
2010-01-11,276.94,0.0,100.0,0.0,0.0,30.0,0.5,-0.3,1.1
2010-01-12,276.91,0.0,97.0,1.5,1.0,26.0,0.5,0.0,1.3
2010-01-13,276.89,0.0,100.0,1.2,2.0,23.0,-0.3,-0.6,0.4
2010-01-14,276.87,0.0,100.0,0.0,0.0,23.0,0.0,-1.0,0.4
2010-01-15,276.84,0.0,100.0,0.2,0.0,23.0,0.9,-0.3,1.9
2010-01-16,276.81,0.0,93.0,0.0,0.0,23.0,0.1,-0.9,2.2
2010-01-17,276.79,1.1,80.0,0.0,0.0,22.0,-2.3,-3.8,0.5
2010-01-18,276.77,0.6,77.0,1.9,2.0,24.0,-2.6,-3.9,0.3
2010-01-19,276.74,0.0,100.0,0.0,0.0,23.0,-2.9,-4.4,-1.3
2010-01-20,276.72,4.0,43.0,0.0,0.0,23.0,-4.4,-5.5,-0.4
2010-01-21,276.69,0.0,100.0,0.0,0.0,21.0,-4.0,-7.3,-2.8
2010-01-22,276.66,0.0,100.0,1.6,3.0,23.0,-2.2,-3.1,-0.5
2010-01-23,276.63,0.0,100.0,0.0,0.0,23.0,-2.9,-3.5,-2.1
2010-01-24,276.61,0.0,100.0,0.0,0.0,23.0,-3.4,-4.2,-2.4
2010-01-25,276.57,0.0,100.0,0.0,0.0,22.0,-3.5,-4.0,-2.7
2010-01-26,276.54,0.0,90.0,0.2,0.0,21.0,-4.4,-5.1,-2.4
2010-01-27,276.5,8.0,43.0,0.6,1.0,21.0,-6.5,-10.5,-1.6
2010-01-28,276.47,2.8,67.0,0.0,0.0,20.0,-7.0,-11.0,-2.3
2010-01-29,276.44,0.9,73.0,0.0,0.0,20.0,-4.6,-9.7,-1.7
2010-01-30,276.41,0.0,100.0,7.4,9.0,28.0,-0.5,-3.2,0.7
2010-01-31,276.37,0.3,83.0,15.0,21.0,48.0,-1.9,-3.6,1.5
2010-02-01,276.34,3.8,37.0,0.1,0.0,43.0,-5.6,-6.9,-1.6
2010-02-02,276.31,5.6,70.0,0.0,0.0,42.0,-5.1,-8.8,0.1
2010-02-03,276.28,2.3,70.0,0.0,0.0,38.0,0.4,-9.7,5.1
2010-02-04,276.24,0.0,97.0,0.0,0.0,32.0,2.6,-0.3,5.3
2010-02-05,276.22,0.0,100.0,0.1,0.0,25.0,2.1,1.2,3.3
