date,level,day_time,precipitation,snow_accumulation,temperature_avg,temperature_min,temperature_max,cloud_cover_avg,cloud_cover_min,cloud_cover_max,dew_point_avg,dew_point_min,dew_point_max,humidity_avg,humidity_min,humidity_max,pressure_avg,pressure_min,pressure_max,precipitation_probability_avg,precipitation_probability_min,precipitation_probability_max,precipitation_intensity_avg,precipitation_intensity_min,precipitation_intensity_max
2010-01-01,157.0,31320.0,0.0,0.0,6.57125,5.39,7.32,0.9020833333333332,0.66,1.0,4.9575000000000005,3.98,5.67,0.8945833333333333,0.84,0.95,991.8300000000002,990.43,995.01,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,150.0,31380.0,0.0,0.0,3.1004166666666664,-0.19,5.81,0.8945833333333333,0.75,1.0,-0.10041666666666688,-8.5,4.28,0.8037499999999999,0.52,0.91,1004.2775,996.66,1013.49,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-03,144.0,31440.0,0.0,0.0,-0.4575,-3.84,4.05,0.3973684210526317,0.0,1.0,-9.682916666666666,-13.1,-7.0,0.51375,0.33,0.73,1019.48875,1015.73,1021.12,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,138.0,31500.0,0.0,0.0,-3.5233333333333334,-6.14,-1.85,0.7727777777777778,0.0,1.0,-7.489583333333333,-11.02,-3.99,0.7441666666666666,0.6,0.91,1018.87375,1015.13,1022.01,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,134.0,31560.0,0.0,0.0,-1.8645833333333333,-2.68,-0.85,1.0,1.0,1.0,-4.0975,-4.8,-2.99,0.8483333333333335,0.81,0.92,1009.6725,1004.23,1013.9,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,132.0,31620.0,0.0,0.0,-1.37875,-2.49,0.17,0.9420833333333332,0.75,1.0,-3.5029166666666676,-4.64,-2.0,0.8545833333333334,0.79,0.94,1002.0875,1000.24,1004.98,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,128.0,31740.0,0.0,0.0,0.11583333333333332,-1.15,1.44,0.9991666666666666,0.99,1.0,-1.7541666666666664,-2.88,-0.19,0.8716666666666666,0.83,0.97,1010.55875,1005.28,1015.72,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,126.0,31800.0,0.0,0.0,-0.3825,-0.96,0.11,0.93625,0.75,1.0,-2.157083333333333,-2.98,-1.01,0.8762499999999999,0.85,0.92,1009.9225,1005.1,1015.19,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-09,124.0,31860.0,0.0,0.0,0.2566666666666666,-0.94,1.15,0.9975,0.94,1.0,-1.39375,-2.69,0.01,0.8874999999999997,0.84,0.99,1003.37,1002.42,1004.95,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,122.0,31980.0,0.0,0.0,1.7808333333333335,0.1,4.15,0.8791666666666665,0.44,1.0,0.04166666666666666,-0.51,1.73,0.8837499999999997,0.76,0.99,1007.86375,1004.54,1012.6,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,120.0,32100.0,0.0,0.0,0.4704166666666667,-0.06,1.27,0.9875,0.84,1.0,-1.0433333333333332,-1.71,-0.19,0.8970833333333329,0.85,0.98,1014.73125,1012.95,1015.82,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,118.0,32220.0,0.0,0.0,-0.01416666666666666,-0.68,0.86,0.9979166666666668,0.96,1.0,-1.9875,-2.49,-1.01,0.8674999999999998,0.81,0.96,1017.32625,1016.03,1019.19,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,117.0,32280.0,0.0,0.0,-0.92375,-1.72,-0.31,0.99375,0.9,1.0,-2.9437499999999996,-3.45,-2.09,0.8633333333333332,0.82,0.94,1013.77125,1012.65,1014.56,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-14,116.0,32400.0,0.0,0.0,-1.1837500000000003,-1.72,-0.19,0.9891666666666667,0.75,1.0,-3.237083333333334,-4.45,-2.29,0.8591666666666669,0.8,0.91,1015.25375,1014.38,1017.05,0.0,0.0,0.0,0.0,0.0,0.0
