date,level,day_time,precipitation,snow_accumulation,temperature_avg,temperature_min,temperature_max,cloud_cover_avg,cloud_cover_min,cloud_cover_max,dew_point_avg,dew_point_min,dew_point_max,humidity_avg,humidity_min,humidity_max,pressure_avg,pressure_min,pressure_max,precipitation_probability_avg,precipitation_probability_min,precipitation_probability_max,precipitation_intensity_avg,precipitation_intensity_min,precipitation_intensity_max
2010-01-01,131.0,31260.0,0.0,0.0,5.178750000000002,3.86,6.64,0.9070833333333334,0.75,1.0,3.77125,0.07,5.41,0.9108333333333336,0.67,1.0,992.18875,990.27,996.24,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,129.0,31320.0,0.0,0.0,1.5233333333333337,-3.25,4.46,0.9525,0.75,1.0,-1.12625,-11.01,4.26,0.8370833333333333,0.46,0.99,1005.2937500000002,997.84,1015.3,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-03,126.0,31380.0,0.0,0.0,-2.553333333333334,-6.59,2.77,0.3757894736842107,0.0,1.0,-9.555833333333336,-12.94,-6.61,0.5970833333333335,0.43,0.88,1020.285,1017.4,1022.53,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,124.0,31440.0,0.0,0.0,-4.947916666666667,-8.74,-2.24,0.7527777777777778,0.0,1.0,-8.360833333333334,-13.61,-3.99,0.7804166666666669,0.5,0.98,1019.1525,1015.72,1023.19,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,122.0,31500.0,0.0,0.0,-2.946666666666666,-4.12,-1.01,0.9025,0.61,1.0,-5.232083333333333,-8.01,-3.9,0.8491666666666666,0.62,0.93,1010.06875,1005.95,1014.74,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,120.0,31560.0,0.0,0.0,-2.2429166666666664,-4.12,0.76,0.95875,0.75,1.0,-3.900416666666666,-5.38,-2.78,0.8887499999999998,0.72,0.97,1002.5525,1000.81,1005.54,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,118.0,31680.0,0.0,0.0,-1.14375,-2.72,1.07,0.9620833333333332,0.83,1.0,-2.6024999999999996,-5.45,-1.11,0.9029166666666668,0.71,0.98,1010.955,1006.5,1016.28,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,117.0,31740.0,0.0,0.0,-1.1916666666666669,-2.2,0.53,0.9316666666666666,0.75,1.0,-2.539166666666667,-4.13,-1.96,0.9070833333333336,0.77,0.98,1010.1325,1005.76,1015.82,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-09,117.0,31800.0,0.0,0.0,-0.37166666666666665,-1.91,3.02,0.9483333333333333,0.61,1.0,-1.69375,-2.71,-0.52,0.91125,0.71,1.0,1003.87125,1002.8,1005.53,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,115.0,31980.0,0.0,0.0,0.95875,-1.12,3.35,0.8149999999999998,0.53,1.0,-0.5012500000000001,-2.5,0.99,0.90375,0.71,0.99,1008.01,1004.95,1012.44,0.0,0.0,0.0,0.0,0.0,0.0
