date,level,day_time,precipitation,snow_accumulation,temperature_avg,temperature_min,temperature_max,cloud_cover_avg,cloud_cover_min,cloud_cover_max,dew_point_avg,dew_point_min,dew_point_max,humidity_avg,humidity_min,humidity_max,pressure_avg,pressure_min,pressure_max,precipitation_probability_avg,precipitation_probability_min,precipitation_probability_max,precipitation_intensity_avg,precipitation_intensity_min,precipitation_intensity_max
2010-01-01,174.0,31380.0,0.0,0.0,4.991666666666666,3.77,6.54,0.9129166666666664,0.75,1.0,4.444583333333334,3.05,5.45,0.9633333333333332,0.9,1.0,991.78125,990.35,994.98,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,168.0,31440.0,0.0,0.0,1.3391666666666666,-1.77,4.32,0.9020833333333332,0.75,1.0,-0.37874999999999986,-7.12,3.74,0.8879166666666666,0.67,1.0,1004.20875,996.64,1013.52,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-03,162.0,31500.0,0.0,0.0,-2.2541666666666664,-6.34,2.23,0.40000000000000013,0.0,1.0,-7.692916666666668,-11.14,-4.37,0.6808333333333332,0.43,0.9,1019.43375,1015.79,1021.16,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,158.0,31560.0,0.0,0.0,-4.742500000000001,-7.65,-2.9,0.7783333333333333,0.0,1.0,-7.121666666666667,-10.0,-4.19,0.8370833333333332,0.67,0.99,1018.6375,1015.15,1021.3,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,155.0,31620.0,0.0,0.0,-3.5104166666666647,-4.23,-2.36,1.0,1.0,1.0,-4.5979166666666655,-5.54,-2.92,0.9220833333333333,0.88,1.0,1009.63125,1004.0,1013.93,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,153.0,31740.0,0.0,0.0,-2.9712499999999995,-4.11,-1.78,0.94375,0.75,1.0,-3.977916666666666,-5.25,-2.35,0.9275000000000002,0.89,0.99,1001.975,999.99,1004.74,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,150.0,31800.0,0.0,0.0,-1.3091666666666664,-2.36,0.23,0.9920833333333334,0.89,1.0,-2.1204166666666664,-3.33,-1.01,0.9425,0.9,1.0,1010.39,1005.04,1015.72,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,148.0,31860.0,0.0,0.0,-2.00625,-2.79,-1.58,0.94375,0.75,1.0,-2.671666666666667,-3.88,-1.58,0.9524999999999998,0.92,1.0,1009.88625,1005.13,1015.19,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-09,147.0,31920.0,0.0,0.0,-1.2241666666666668,-2.51,-0.13,0.9925,0.82,1.0,-1.8558333333333337,-3.33,-0.61,0.9545833333333336,0.93,1.0,1003.14625,1001.93,1004.96,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,145.0,32040.0,0.0,0.0,0.7825000000000001,-1.04,4.32,0.8916666666666666,0.44,1.0,-0.18208333333333343,-1.04,1.84,0.9349999999999996,0.78,1.0,1007.835,1004.56,1012.63,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,144.0,32160.0,0.0,0.0,-1.2095833333333332,-2.16,0.34,0.9825,0.72,1.0,-1.6370833333333332,-2.79,-0.4,0.9704166666666666,0.93,1.0,1014.6575,1012.96,1015.72,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,142.0,32280.0,0.0,0.0,-1.705833333333333,-2.36,-0.68,0.9929166666666666,0.87,1.0,-2.348333333333333,-3.19,-1.52,0.9541666666666664,0.9,1.0,1017.1725,1016.05,1019.1,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,142.0,32340.0,0.0,0.0,-2.695833333333333,-3.46,-1.85,0.9866666666666668,0.74,1.0,-3.0229166666666667,-3.74,-2.15,0.9766666666666663,0.93,1.0,1013.71875,1012.6,1014.57,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-14,140.0,32460.0,0.0,0.0,-2.8862500000000004,-3.54,-1.77,0.9870833333333332,0.75,1.0,-3.0333333333333345,-3.54,-2.34,0.9895833333333334,0.91,1.0,1015.05125,1013.93,1017.03,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,139.0,32580.0,0.0,0.0,-2.0604166666666672,-2.9,-0.79,0.9966666666666668,0.93,1.0,-2.630416666666666,-3.88,-1.71,0.9595833333333332,0.89,1.0,1022.84125,1016.94,1028.69,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-16,138.0,32700.0,0.0,0.0,-2.4012499999999997,-4.02,-0.69,0.8675,0.44,1.0,-4.215833333333333,-6.0,-2.65,0.8729166666666667,0.71,0.94,1028.89375,1026.81,1030.4,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-17,138.0,32760.0,0.0,0.0,-2.924166666666665,-4.6,-1.12,0.7870833333333332,0.44,1.0,-4.309583333333333,-5.77,-2.01,0.9041666666666668,0.71,1.0,1023.6312499999998,1021.69,1025.15,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,137.0,32940.0,0.0,0.0,-1.2833333333333332,-5.1,2.66,0.6229166666666666,0.19,0.82,-3.817083333333334,-6.92,-0.37,0.8341666666666666,0.69,1.0,1025.95125,1024.75,1027.39,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,136.0,33060.0,0.0,0.0,-2.2575,-6.1,3.77,0.7570833333333332,0.15,1.0,-3.843333333333334,-6.1,-0.31,0.8929166666666667,0.74,1.0,1024.74375,1022.32,1026.99,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-20,136.0,33180.0,0.0,0.0,-3.080833333333334,-9.59,5.88,0.5220833333333332,0.04,1.0,-5.11375,-9.59,-0.71,0.8720833333333332,0.61,1.0,1019.78125,1016.9,1022.56,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-21,135.0,33300.0,0.0,0.0,-5.867916666666667,-10.01,-3.37,0.8604166666666666,0.22,1.0,-6.412500000000001,-10.01,-3.81,0.9616666666666668,0.82,1.0,1021.72875,1016.71,1025.42,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-22,135.0,33420.0,0.0,0.0,-4.437500000000001,-5.44,-2.48,0.93875,0.75,1.0,-4.732916666666666,-5.66,-3.64,0.978333333333333,0.9,1.0,1026.63125,1025.55,1028.78,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-23,134.0,33600.0,0.0,0.0,-5.461666666666666,-6.26,-4.57,0.9875000000000002,0.87,1.0,-5.999583333333333,-6.36,-5.53,0.96125,0.9,1.0,1028.87125,1028.24,1029.69,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,133.0,33720.0,0.0,0.0,-5.873333333333334,-7.12,-4.76,0.9929166666666666,0.84,1.0,-7.186666666666667,-7.99,-6.58,0.9041666666666668,0.84,0.99,1029.9862500000002,1027.49,1032.19,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,132.0,33840.0,0.0,1.34,-5.97,-7.37,-4.04,1.0,1.0,1.0,-7.289166666666667,-7.83,-6.35,0.9058333333333332,0.81,1.0,1033.1962500000002,1032.01,1034.27,0.029166666666666664,0.0,0.35,0.00375,0.0,0.07
2010-01-26,131.0,34020.0,0.0,0.0,-6.890416666666668,-8.4,-4.57,0.8870833333333333,0.75,1.0,-7.793749999999999,-9.68,-6.69,0.9345833333333332,0.85,1.0,1032.95875,1031.51,1034.05,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-27,129.0,34140.0,0.049,1.46,-8.481666666666667,-12.7,-0.93,0.39900000000000013,0.0,0.77,-11.390416666666663,-13.51,-7.57,0.807083333333333,0.54,0.94,1028.66125,1022.91,1033.73,0.04374999999999999,0.0,0.35,0.01125,0.0,0.14
2010-01-28,130.0,34320.0,0.0,0.0,-7.319999999999998,-12.47,-0.25,0.618421052631579,0.0,1.0,-10.399166666666668,-13.41,-6.7,0.7920833333333334,0.61,1.0,1009.0925,1004.8,1018.95,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,130.0,34440.0,0.0,0.0,-6.9487499999999995,-13.76,-1.22,0.7179166666666666,0.0,1.0,-8.315,-13.76,-4.14,0.9079166666666666,0.74,1.0,1000.49,994.81,1004.5,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-30,131.0,34620.0,0.0,4.71,-1.5812499999999998,-3.22,-0.25,1.0,1.0,1.0,-2.592083333333333,-3.99,-1.18,0.9304166666666666,0.78,1.0,992.78,990.39,996.6,0.008749999999999999,0.0,0.21,0.017916666666666668,0.0,0.43
2010-01-31,131.0,34740.0,0.0,0.0,-3.180833333333334,-5.62,0.19,0.8354166666666668,0.44,1.0,-4.121666666666667,-6.49,-2.49,0.9333333333333336,0.82,1.0,1002.44625,997.68,1007.82,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,129.0,34980.0,0.0,0.0,-5.752916666666668,-9.26,0.44,0.5049999999999999,0.13,1.0,-7.742916666666666,-10.11,-6.08,0.8679166666666666,0.6,1.0,1013.63375,1008.91,1017.89,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,127.0,35100.0,0.0,0.0,-6.781666666666666,-16.02,2.61,0.36958333333333343,0.0,0.93,-9.399166666666666,-16.02,-4.22,0.8345833333333333,0.59,1.0,1020.3525,1018.41,1021.92,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-03,127.0,35280.0,0.0,0.0,-2.7425,-8.41,2.39,0.5320833333333332,0.0,0.79,-5.7924999999999995,-10.2,-1.74,0.8004166666666667,0.68,1.0,1018.47375,1016.03,1020.85,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-04,127.0,35400.0,0.0,0.0,0.3362500000000002,-5.13,3.8,0.7345833333333333,0.44,1.0,-2.260416666666667,-5.13,-0.22,0.8333333333333335,0.68,1.0,1022.77875,1021.5,1024.19,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-05,129.0,35640.0,0.3325,0.0,1.6941666666666666,0.75,2.65,0.9508333333333332,0.75,1.0,0.4145833333333333,-1.14,1.74,0.91375,0.82,1.0,1017.24125,1012.45,1020.95,0.13125,0.0,0.35,0.03958333333333334,0.0,0.28
